Game_Name,Studio_Name,Sudio_Location,Game_Categeory
The Armor,Molestie In Company,Boston,Action
My Arsenal,Vitae Velit Inc,Texas,Adventure
Annihilator,Dolor Sit Inc,London,Action
Anomaly,Morbi Institute,Reading,Role-playing
Arbitrage,Est Ac Ltd,Birmingham,Simulation
Team Arsenic,Ut PC,Glasgow,Sports
Alien,Varius Et Incorporated,StAlbans,Adventure
Abyss,Ullamcorper,Cambridge,Sports
Agitator,Vitae Velit Inc,Texas,Action
Agony,Vitae Velit Inc,Texas,Puzzle
Agrippa,Molestie In Company,Boston,Simulation
Albatross,Ullamcorper,Cambridge,Simulation
Amaretto,Vitae Velit Inc,Texas,Sports
Amazon,Ut PC,Glasgow,Adventure
Ambush,Est Ac Ltd,Birmingham,Strategy
Angon,Est Ac Ltd,Birmingham,Strategy
Animus,Vitae Velit Inc,Texas,Action
Spider Man,Dolor Sit Inc,London,Action
Stream Elements,Ullamcorper,Cambridge,Adventure
Core Philosophies,Morbi Institute,Reading,Sports
Given Moment,Vitae Velit Inc,Texas,Adventure
Relative Performance,Morbi Institute,Reading,Adventure
Trink,Molestie In Company,Boston,Sports
Twitch,Est Ac Ltd,Birmingham,Action
Onscreen Prompts,Morbi Institute,Reading,Puzzle
Flagship Property,Vitae Velit Inc,Texas,Puzzle
Critical Role,Vitae Velit Inc,Texas,Role-playing
Digital,Morbi Institute,Reading,Puzzle
Cool Virtual Games,Vitae Velit Inc,Texas,Puzzle
Strong Position,Ullamcorper,Cambridge,Adventure